date,rank,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,audiAcc,scrnCnt,showCnt
2026-06-16,1,20252402,군체,2026-05-21,324208640,31.8,32022,5278726,1146,3973
2026-06-16,2,20248252,와일드 씽,2026-06-03,235796930,23.1,24984,918383,935,2990
2026-06-16,3,20263030,백룸,2026-05-27,131874560,12.9,12242,1000218,649,1510
2026-06-16,4,20250655,디스클로저 데이,2026-06-10,105651700,10.4,9976,215010,783,1998
2026-06-16,5,20259626,마이클,2026-05-13,36973120,3.6,3563,1595806,358,505
2026-06-16,6,20261766,상자 속의 양,2026-06-10,27564820,2.7,3068,47114,389,561
2026-06-16,7,20258236,만달로리안과 그로구,2026-05-27,22434930,2.2,2071,216567,133,197
2026-06-16,8,20264331,디어 마이 히어로, ,7305000,0.7,1461,8719,113,279
2026-06-16,9,20263344,너바나 더 밴드,2026-05-20,11955700,1.2,1428,70506,56,64
2026-06-16,10,20258945,너만 보이는 날,2026-06-24,11880000,1.2,1320,3367,6,6
2026-06-15,1,20252402,군체,2026-05-21,337376130,33.5,33836,5246704,1131,4040
2026-06-15,2,20248252,와일드 씽,2026-06-03,225920920,22.4,23668,893399,893,2974
2026-06-15,3,20263030,백룸,2026-05-27,127343160,12.6,11897,987976,639,1516
2026-06-15,4,20250655,디스클로저 데이,2026-06-10,111210200,11.0,10366,205034,766,2050
2026-06-15,5,20259626,마이클,2026-05-13,32892280,3.3,3201,1592243,357,501
2026-06-15,6,20242402,눈동자,2026-06-24,28179000,2.8,2879,3102,13,13
2026-06-15,7,20261766,상자 속의 양,2026-06-10,20988620,2.1,2293,44046,368,521
2026-06-15,8,20258236,만달로리안과 그로구,2026-05-27,19988250,2.0,1819,214496,129,192
2026-06-15,9,20264331,디어 마이 히어로, ,8790000,0.9,1758,7258,110,279
2026-06-15,10,20163018,싱 스트리트,2016-05-19,12390400,1.2,1230,590670,111,142
2026-06-14,1,20252402,군체,2026-05-21,1192609160,35.9,114961,5212868,1322,4751
2026-06-14,2,20248252,와일드 씽,2026-06-03,751605860,22.6,76586,869731,1105,3577
2026-06-14,3,20263030,백룸,2026-05-27,410464720,12.3,38107,976079,776,1894
2026-06-14,4,20250655,디스클로저 데이,2026-06-10,389010760,11.7,35231,194668,887,2458
2026-06-14,5,20259626,마이클,2026-05-13,119952020,3.6,11088,1589042,401,571
2026-06-14,6,20263512,이상한 과자 가게 전천당,2026-05-29,89187310,2.7,9807,159163,405,555
2026-06-14,7,20264331,디어 마이 히어로, ,27500000,0.8,5500,5500,120,328
2026-06-14,8,20261766,상자 속의 양,2026-06-10,48405860,1.5,5104,41753,418,553
2026-06-14,9,20258236,만달로리안과 그로구,2026-05-27,54168910,1.6,4763,212677,153,220
2026-06-14,10,20163018,싱 스트리트,2016-05-19,30755600,0.9,2887,589440,115,135
2026-06-13,1,20252402,군체,2026-05-21,1361476990,34.3,132016,5097907,1331,4922
2026-06-13,2,20248252,와일드 씽,2026-06-03,927566430,23.4,92189,793145,1112,3748
2026-06-13,3,20250655,디스클로저 데이,2026-06-10,556410140,14.0,49791,159437,925,2753
2026-06-13,4,20263030,백룸,2026-05-27,528364790,13.3,48823,937972,767,1989
2026-06-13,5,20259626,마이클,2026-05-13,128981260,3.2,11558,1577954,395,589
2026-06-13,6,20263512,이상한 과자 가게 전천당,2026-05-29,75751000,1.9,8253,149356,425,582
2026-06-13,7,20261766,상자 속의 양,2026-06-10,58393230,1.5,6090,36649,444,606
2026-06-13,8,20258236,만달로리안과 그로구,2026-05-27,65204930,1.6,5642,207914,154,238
2026-06-13,9,20163018,싱 스트리트,2016-05-19,36927150,0.9,3602,586553,113,143
2026-06-13,10,20259773,슈퍼 마리오 갤럭시,2026-04-29,19795500,0.5,1935,1633041,93,112
2026-06-12,1,20252402,군체,2026-05-21,567526930,32.4,54064,4965891,1257,4410
2026-06-12,2,20248252,와일드 씽,2026-06-03,358850200,20.5,36326,700956,964,2964
2026-06-12,3,20250655,디스클로저 데이,2026-06-10,306884030,17.5,27363,109646,1016,2832
2026-06-12,4,20263030,백룸,2026-05-27,242156280,13.8,21808,889149,748,1757
2026-06-12,5,20261766,상자 속의 양,2026-06-10,42813580,2.4,4654,30559,440,711
2026-06-12,6,20259626,마이클,2026-05-13,46349000,2.6,4417,1566396,342,477
2026-06-12,7,20258236,만달로리안과 그로구,2026-05-27,30453880,1.7,2564,202272,143,206
2026-06-12,8,20163018,싱 스트리트,2016-05-19,17753850,1.0,1792,582951,120,146
2026-06-12,9,20263344,너바나 더 밴드,2026-05-20,16994050,1.0,1354,65804,60,63
2026-06-12,10,20040734,노트북,2004-11-26,11485100,0.7,956,844348,36,48
2026-06-11,1,20252402,군체,2026-05-21,403511460,28.3,40619,4911827,1210,4225
2026-06-11,2,20248252,와일드 씽,2026-06-03,248136770,17.4,26678,664630,887,2689
2026-06-11,3,20250655,디스클로저 데이,2026-06-10,269092210,18.9,25356,82283,1014,2756
2026-06-11,4,20263030,백룸,2026-05-27,167785510,11.8,15969,867341,710,1656
2026-06-11,5,20261766,상자 속의 양,2026-06-10,49555410,3.5,5676,25905,433,724
2026-06-11,6,20259626,마이클,2026-05-13,45527630,3.2,4530,1561979,372,504
2026-06-11,7,20163018,싱 스트리트,2016-05-19,21175000,1.5,2472,581159,123,158
2026-06-11,8,20258236,만달로리안과 그로구,2026-05-27,18980200,1.3,1742,199708,122,177
2026-06-11,9,20258725,순례자들은 왜 돌아오지 않는가,2026-06-03,11305500,0.8,1573,9645,45,47
2026-06-11,10,20259781,토이 스토리 5,2026-06-17,23817000,1.7,1537,1537,2,3
2026-06-10,1,20250655,디스클로저 데이,2026-06-10,583966980,31.2,56080,56927,1072,2962
2026-06-10,2,20252402,군체,2026-05-21,436834660,23.3,47226,4871208,1227,4223
2026-06-10,3,20248252,와일드 씽,2026-06-03,282672990,15.1,32253,637952,910,2754
2026-06-10,4,20263030,백룸,2026-05-27,169899810,9.1,17742,851372,732,1668
2026-06-10,5,20261766,상자 속의 양,2026-06-10,75124700,4.0,8751,20229,456,745
2026-06-10,6,20259626,마이클,2026-05-13,41377090,2.2,4336,1557449,363,471
2026-06-10,7,20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,90436000,4.8,3932,28218,64,123
2026-06-10,8,20163018,싱 스트리트,2016-05-19,25440600,1.4,3089,578687,137,162
2026-06-10,9,20264226,쏜애플 '나의 세기' 익스텐디드 플레이 필름, ,24000000,1.3,2000,2000,29,60
2026-06-10,10,20258236,만달로리안과 그로구,2026-05-27,17566790,0.9,1797,197966,123,154
2026-06-09,1,20252402,군체,2026-05-21,446688550,38.7,44397,4823982,1412,5188
2026-06-09,2,20248252,와일드 씽,2026-06-03,282266420,24.5,30279,605699,1050,3729
2026-06-09,3,20263030,백룸,2026-05-27,168866540,14.6,16155,833630,739,2049
2026-06-09,4,20259626,마이클,2026-05-13,67274370,5.8,6737,1553113,516,798
2026-06-09,5,20258236,만달로리안과 그로구,2026-05-27,23745470,2.1,2372,196169,263,334
